County,total_winnings_usd,winner_count,total_POP2000,total_POP2010,total_POP2020,dollar_per_winner,winners_per_person,dollars_per_person
BARNSTABLE,53686313,19363,222230,215888,228996,2772.623715,0.084556062,234.4421431
BERKSHIRE,25283170,9539,134953,131219,129026,2650.505294,0.073930836,195.9540713
BRISTOL,179042445,48927,534678,548285,579200,3659.379177,0.084473412,309.1202434
DUKES,5350951,1291,14987,16535,20600,4144.810999,0.062669903,259.7549029
ESSEX,182375798,60960,723419,743159,809829,2991.72897,0.075275151,225.202849
FRANKLIN,14780146,4792,71535,71372,71029,3084.337646,0.067465401,208.0860775
HAMPDEN,95923413,37378,456228,463490,465825,2566.306731,0.080240434,205.921565
HAMPSHIRE,72115983,7925,152251,158080,162308,9099.80858,0.048826922,444.3156406
MIDDLESEX,334316309,92132,1465392,1503085,1632002,3628.666576,0.056453362,204.8504285
NANTUCKET,3537224,1248,9520,10172,14255,2834.314103,0.087548229,248.1391792
NORFOLK,149808432,49497,650496,670850,725981,3026.616401,0.06817947,206.3531029
PLYMOUTH,137965278,46528,472822,494919,530819,2965.209723,0.08765323,259.9102104
SUFFOLK,182222860,56637,689623,722023,797936,3217.381923,0.070979377,228.3677638
WORCESTER,188828099,63765,750963,798552,862111,2961.312617,0.073963794,219.0299149
