town,total_winnings_usd,winner_count,POP2000,POP2010,POP2020,dollars_per_winner,winners_per_person,dollars_per_person
ABINGTON,8590176,2970,14605,15985,17062,2892.315152,0.174071035,503.4682921
ACTON,1396168,725,20331,21924,24021,1925.748966,0.030181924,58.12280921
ACUSHNET,873850,467,10161,10303,10559,1871.199143,0.044227673,82.75878398
ADAMS,2681625,1045,8809,8485,8166,2566.148325,0.12796963,328.3890522
AGAWAM,7470608,2466,28144,28438,28692,3029.443633,0.085947302,260.372508
AMESBURY,2626341,808,16450,16283,17366,3250.42203,0.046527698,151.2346539
AMHERST,1969870,480,34874,37819,39263,4103.895833,0.01222525,50.1711535
ANDOVER,5633053,928,31247,33201,36569,6070.100216,0.025376685,154.0390221
ARLINGTON,4482175,1477,42389,42844,46308,3034.647935,0.031895137,96.79051136
ASHBURNHAM,789356,412,5546,6081,6315,1915.912621,0.065241489,124.9969913
ASHBY,347282,219,2845,3074,3193,1585.762557,0.068587535,108.7635453
ASHFIELD,9000,9,1800,1737,1695,1000,0.005309735,5.309734513
ASHLAND,9453152,1320,14674,16593,18832,7161.478788,0.070093458,501.9728122
ATHOL,2517828,1289,11299,11584,11945,1953.318852,0.10791126,210.7850984
ATTLEBORO,13216916,5114,42068,43593,46461,2584.457567,0.110070812,284.4733432
AUBURN,6726933,2061,15901,16188,16889,3263.917031,0.122032092,398.302623
AVON,1747059,534,4443,4356,4777,3271.646067,0.11178564,365.7230479
AYER,1166289,619,7287,7427,8479,1884.150242,0.073003892,137.5503007
BARNSTABLE,12156927,4467,47821,45193,48916,2721.496978,0.091319814,248.5265966
BARRE,932209,519,5113,5398,5530,1796.163776,0.093851718,168.5730561
BECKET,8750,5,1755,1779,1931,1750,0.002589332,4.531330917
BEDFORD,1316045,497,12595,13320,14383,2647.977867,0.034554683,91.50003476
BELCHERTOWN,32596621,830,12968,14649,15350,39273.03735,0.054071661,2123.558371
BELLINGHAM,4560080,2561,15314,16332,16945,1780.585709,0.151136028,269.1106521
BELMONT,3176035,982,24194,24729,27295,3234.251527,0.035977285,116.3595897
BERKLEY,649631,338,5749,6411,6764,1921.985207,0.049970432,96.04243051
BERLIN,462428,250,2380,2866,3158,1849.712,0.079164028,146.4306523
BERNARDSTON,108175,86,2155,2129,2102,1257.848837,0.040913416,51.46289248
BEVERLY,6331994,2628,39862,39502,42670,2409.434551,0.061588938,148.3945161
BILLERICA,10887537,3517,38981,40243,42119,3095.688655,0.083501508,258.4946699
BLACKSTONE,1779300,832,8804,9026,9208,2138.581731,0.090356212,193.2341442
BLANDFORD,82900,45,1214,1233,1215,1842.222222,0.037037037,68.23045267
BOLTON,117088,94,4159,4897,5665,1245.617021,0.016593116,20.66866726
BOSTON,144787163,46291,588957,617594,675647,3127.760537,0.068513588,214.2940959
BOURNE,6715686,1830,18721,19754,20452,3669.77377,0.089477802,328.3632897
BOXBOROUGH,1241502,99,4868,4996,5506,12540.42424,0.017980385,225.4816564
BOYLSTON,411085,274,4083,4355,4849,1500.310219,0.056506496,84.77727366
BRAINTREE,10112517,3537,33828,35744,39143,2859.066158,0.090360984,258.3480316
BREWSTER,3182846,296,10094,9820,10318,10752.85811,0.02868773,308.4750921
BRIDGEWATER,9075261,2093,25185,26563,28633,4336.006211,0.073097475,316.9511054
BRIMFIELD,309328,208,3339,3609,3694,1487.153846,0.056307526,83.73795344
